city,district,district
 الخبر,   حي التحلية ,149
 الخبر,   حي الصواري ,149
 الخبر,   حي اللؤلؤ ,148
 الخبر,   حي الحزام الاخضر ,96
 الخبر,   حي الكورنيش ,96
 الخبر,   حي الراكة الجنوبية ,52
 الخبر,   حي الامواج ,51
 الخبر,   حي البحيرة ,51
 الخبر,   حي المدينة الرياضية ,50
 الخبر,   حي مدينة العمال ,50
 الخبر,   حي العليا ,49
 الخبر,   حي العقيق ,7
 الخبر,   حي الحزام الذهبي ,4
 الخبر,   حي الخزامى ,4
 الخبر,   حي الشراع ,4
 الخبر,   حي قرطبة ,4
 الخبر,   حي الجسر ,2
 الخبر,   حي العقربية ,2
 الخبر,   حي اليرموك ,2
 الخبر,   حي الاندلس ,1
 الخبر,   حي الثقبة ,1
 الخبر,   حي الجوهرة ,1
 الخبر,   حي الخبر الشمالية ,1
 الخبر,   حي السفن ,1
 الخبر,   حي المرجان ,1
 الدمام,   حي ضاحية الملك فهد ,173
 الدمام,   حي المنار ,98
 الدمام,   حي الشعلة ,69
 الدمام,   حي الشاطئ الغربي ,53
 الدمام,   حي طيبة ,53
 الدمام,   حي الحمراء ,49
 الدمام,   حي بدر ,48
 الدمام,   حي الخالدية الشمالية ,47
 الدمام,   حي المدينة الصناعية الثانية ,47
 الدمام,   حي الاثير ,46
 الدمام,   حي الجوهرة ,46
 الدمام,   حي السيف ,46
 الدمام,   حي الفرسان ,46
 الدمام,   حي المنتزه ,46
 الدمام,   حي الندى ,6
 الدمام,   حي الشاطئ الشرقي ,4
 الدمام,   حي النزهة ,3
 الدمام,   حي النورس ,3
 الدمام,   حي الفيصلية ,2
 الدمام,   حي المزروعية ,2
 الدمام,   حي جامعة الدمام ,2
 الدمام,   حي الأمل ,1
 الدمام,   حي الانوار ,1
 الدمام,   حي الريان ,1
 الدمام,   حي الشرق ,1
 الدمام,   حي النخيل ,1
 الرياض,   حي العارض ,137
 الرياض,   حي الرمال ,119
 الرياض,   حي الملقا ,39
 الرياض,   حي طويق ,38
 الرياض,   حي النرجس ,35
 الرياض,   حي المونسية ,34
 الرياض,   حي العليا ,31
 الرياض,   حي القادسية ,30
 الرياض,   حي ظهرة لبن ,28
 الرياض,   حي السليمانية ,24
 الرياض,   حي الياسمين ,22
 الرياض,   حي الصحافة ,21
 الرياض,   حي العقيق ,15
 الرياض,   حي الروضة ,13
 الرياض,   حي القيروان ,13
 الرياض,   حي الشرق ,12
 الرياض,   حي اليرموك ,11
 الرياض,   حي الملز ,10
